"V1","V2","V3","V4"
"book.delta.v1.0.2.5.1","trade.indicator.v1.0.2.2.1.sqrt","trade.indicator.v1.0.2.2.5.log","trade.indicator.v2.0.2.2.5.log"
"0.00000893984426908784145910345786","0.00000000000310354698469586046594","0.00000000000066378823545005028381","0.00000000000000000000000003711557"
